,@timestamp,kubernetes.container.name,mqtt_topic,uuid,ix_direction
QI5LuH0BX0lHpglpxcWG,2021-12-14 09:35:11.903000+00:00,oem-nodejs,carChassisNumber/DENM,60012b98-2be4-4f00-a729-2951fe8164d7,recv
Qo5LuH0BX0lHpglpxcWG,2021-12-14 09:35:12.096000+00:00,oem-nodejs,carChassisNumber/DENM,ae02eb90-6eda-43bc-979f-157f3d65917f,recv
io5LuH0BX0lHpglpycVv,2021-12-14 09:35:12.334000+00:00,oem-nodejs,carChassisNumber/DENM,04712735-c633-4cb6-b735-76aa11911066,recv
jI5LuH0BX0lHpglpycVv,2021-12-14 09:35:12.506000+00:00,oem-nodejs,carChassisNumber/DENM,1455a689-2ee4-418a-b436-d79f9e72bbd4,recv
jo5LuH0BX0lHpglpycVv,2021-12-14 09:35:12.703000+00:00,oem-nodejs,carChassisNumber/DENM,24533cd0-8ad5-442d-b622-8ff2d7bcafac,recv
kI5LuH0BX0lHpglpycVv,2021-12-14 09:35:12.898000+00:00,oem-nodejs,carChassisNumber/DENM,4cacd867-8128-4e8f-aad5-1aac0c910537,recv
ko5LuH0BX0lHpglpycVv,2021-12-14 09:35:13.096000+00:00,oem-nodejs,carChassisNumber/DENM,743b8e7f-1021-44d8-9418-746a9586de4e,recv
y45LuH0BX0lHpglpzcVa,2021-12-14 09:35:13.311000+00:00,oem-nodejs,carChassisNumber/DENM,9fa5d4f3-3d60-4bf7-a9c1-d80121751c49,recv
zY5LuH0BX0lHpglpzcVa,2021-12-14 09:35:13.496000+00:00,oem-nodejs,carChassisNumber/DENM,c5773313-50d6-4ea0-9df9-ee53378c5231,recv
z45LuH0BX0lHpglpzcVa,2021-12-14 09:35:13.708000+00:00,oem-nodejs,carChassisNumber/DENM,37a6e69a-e9ee-47e5-82d6-fd2b9de675b6,recv
0Y5LuH0BX0lHpglpzcVa,2021-12-14 09:35:13.902000+00:00,oem-nodejs,carChassisNumber/DENM,dee6ed4b-a48f-464b-bcb4-901763b1fd2b,recv
045LuH0BX0lHpglpzcVa,2021-12-14 09:35:14.086000+00:00,oem-nodejs,carChassisNumber/DENM,266f1c9d-2b04-45bb-9519-26bab3d9e43a,recv
845LuH0BX0lHpglp0cVF,2021-12-14 09:35:14.327000+00:00,oem-nodejs,carChassisNumber/DENM,f072ba97-b553-4504-adf9-43b3e12fb326,recv
9Y5LuH0BX0lHpglp0cVF,2021-12-14 09:35:14.552000+00:00,oem-nodejs,carChassisNumber/DENM,8ac188f5-0a0f-46bd-969a-dce5bafca2db,recv
